benchmark,result,exit_code,cpu_time_seconds,system_time_seconds,wall_time_seconds,cpu_percentage,max_memory_kb,avg_memory_kb,major_page_faults,minor_page_faults,voluntary_context_switches,involuntary_context_switches,file_system_inputs,file_system_outputs,socket_messages_sent,socket_messages_received,signals_delivered,page_size_bytes,conflicts,decisions,propagations,restarts,conflict_literals,learnt_literals,max_literals,tot_literals,variables,clauses,original_clauses,learned_clauses_deleted,avg_clause_length,conflicts_per_second,decisions_per_second,propagations_per_second,random_decisions_percentage,preprocessing_time,solving_time,total_literals_in_learned,deleted_literals_percentage,file_size_bytes
8b91c5bf4dfd87ffb46c5ef88a3ef1cd-lec_mult_DvW_12x11.sanitized,TIMEOUT,124,0,0,5000.147982221,99,0,0,0,0,38,5840,0,0,0,0,0,4096,,,,,,,,,2861,8538,8538,,.67,,,,,,,,,118430
88e89266e58f1f125ebc4e0f66e2c060-32_200.sanitized,ERROR,0,0,0,44.877914642,69,0,0,0,0,21274,60,904,0,0,0,0,4096,,,,,,,,,0,0,0,,0,,,,,,,,,1342986610
88d151d4e3c6ba9bd78454de141cd108-T105.2.0,UNSAT,20,0,0,344.864405781,99,0,0,0,0,3934,449,0,0,0,0,0,4096,316046,1176093,932732806,765,11687846,11687846,,11687846,3094431,10684799,10684799,43.67,.57,916.43,3410.30,2704636.34,0.00,,,11687846,43.67,240519127
878bcc11e1e243680f7946bcf428f465-linked_list_swap_contents_safety_unwind45,UNSAT,20,0,0,118.596335904,96,0,0,0,0,6176,157,0,0,0,0,0,4096,2114,1354116,67937557,14,2931051,2931051,,2931051,1509852,15272249,15272249,25.91,.19,17.82,11417.85,572847.01,0.00,,,2931051,25.91,378983969
8942dca5dc0876fc3f723f738d72de1c-circuit_32in32out_with_64gates_8in6out_dist128_seed2.sanitized,SAT,10,0,0,2909.934079085,99,0,0,0,0,1084,5588,128,0,0,0,0,4096,5015257,5890579,232300925,8191,127205779,127205779,,127205779,416,1032192,1032192,24.96,0,1723.49,2024.29,79830.30,0.00,,,127205779,24.96,62770294
897acc1858ce0887f286aba5c0d56d71-Nb13T165,ERROR,0,0,0,3481.935268655,99,0,0,0,0,2145,13403,288,0,0,0,0,4096,,,,,,,,,1389990,5543200,5543200,,.50,,,,,,,,,128279760
8530c911b75ab1b276042043d118a875-constraints_16_0.4_1.sanitized,UNSAT,20,0,0,603.580025119,99,0,0,0,0,272,550,0,0,0,0,0,4096,1431472,2346333,124011739,2779,159634572,159634572,,159634572,2240,40528,40528,42.51,.11,2371.63,3887.36,205460.30,0.00,,,159634572,42.51,14640186
84c6d7e4a18aacf166105aaa3cd6e3de-128_100.sanitized,ERROR,0,0,0,43.868865893,68,0,0,0,0,21251,212,0,0,0,0,0,4096,,,,,,,,,0,0,0,,0,,,,,,,,,2405006659
83b330c934d6dd35d56e1b1ca3638b3c-j3037_1_mdd_b,SAT,10,0,0,1742.681337127,99,0,0,0,0,59,763,0,0,0,0,0,4096,7427204,9313727,8627608851,12283,227293936,227293936,,227293936,21288,87245,87245,49.53,.48,4261.94,5344.48,4950766.76,0.00,,,227293936,49.53,1444181
8704094951693f99fd21403a039c8131-mchess_16,TIMEOUT,124,0,0,5000.125981274,99,0,0,0,0,39,2393,0,0,0,0,0,4096,,,,,,,,,480,1592,1592,,.60,,,,,,,,,19624
812926407774771b3bd9885f7bfa4841-lru_9.sanitized,ERROR,0,0,0,46.319435817,67,0,0,0,0,21357,84,4120,0,0,0,0,4096,,,,,,,,,0,0,0,,0,,,,,,,,,2380666674
82d9e8d2cfea101dfe52c8359b7bb163-af-synthesis_stb_50_40_2_unsat,UNSAT,20,0,0,1256.079683591,99,0,0,0,0,207,2432,2688,0,0,0,0,4096,3289733,3839626,3436544318,5883,98642898,98642898,,98642898,15397,126194,126194,61.34,.24,2619.04,3056.83,2735928.59,0.00,,,98642898,61.34,2894797
7fb202a51c0223f3119887a57086ca4d-x9-09051.sat.sanitized,UNSAT,20,0,0,646.498185517,99,0,0,0,0,37,313,0,0,0,0,0,4096,16690584,20546435,1587676484,24574,498474320,498474320,,498474320,450,4046,4046,26.96,.22,25816.90,31781.11,2455809.65,0.00,,,498474320,26.96,49965
7f7109dce621ef361a72b3e8cee9a962-Break_unsat_06_07.xml,UNSAT,20,0,0,.694323825,93,0,0,0,0,36,1,0,0,0,0,0,4096,39224,48313,4763405,127,538023,538023,,538023,1101,5036,5036,43.69,.43,56492.37,69582.80,6860494.81,0.00,,,538023,43.69,62709
7f2b4b2bde9b866b93fbfe01341213da-asconhashv12_opt64_H5_M2-xEJ8F_m0_3_U5.c,UNSAT,20,0,0,191.695897096,99,0,0,0,0,133,613,0,0,0,0,0,4096,222749,877744,645297656,511,11522741,11522741,,11522741,126961,296304,296304,65.28,.85,1161.99,4578.83,3366257.00,0.00,,,11522741,65.28,6117966
7fca438c38e5b7a70e38778ec146cfe0-ctl_4291_567_2_unsat-sc2013,UNSAT,20,0,0,2302.572532657,99,0,0,0,0,90,3574,680,0,0,0,0,4096,13578150,16434513,6531885929,20475,246204180,246204180,,246204180,17850,149132,149132,46.88,.23,5896.94,7137.45,2836777.48,0.00,,,246204180,46.88,3085380
83dc8f675657b3e6d148ef5cf897fb82-openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN,TIMEOUT,124,0,0,5000.250591039,98,0,0,0,0,206652,9276,1891376,0,0,0,0,4096,,,,,,,,,95456,276407,276407,,.69,,,,,,,,,8360678
7f1c7da531539f3be4a1e0e916913086-pcmax-scheduling-m19-2974-16501-UNSAT.sanitized,TIMEOUT,124,0,0,5000.117758358,99,0,0,0,0,41,1551,0,0,0,0,0,4096,,,,,,,,,2973,15516,15516,,.38,,,,,,,,,269075
7e1d279559b202016e5797901e731a39-simon-r25-0.sanitized,TIMEOUT,124,0,0,5000.132076150,99,0,0,0,0,41,1861,0,0,0,0,0,4096,,,,,,,,,4128,13664,13664,,.60,,,,,,,,,220806
7dc0e1b5fedbd8351907f1316b58e68f-1-ZC-512-K-65.sanitized,TIMEOUT,124,0,0,5000.192879498,99,0,0,0,0,323,13912,0,0,0,0,0,4096,,,,,,,,,32224,1110356,1110356,,.05,,,,,,,,,17914227
7b9d8b9b31b530effd634f5a8f1f4411-stb_531_83.apx_2_DC-ST,UNSAT,20,0,0,3242.027045800,99,0,0,0,0,41,1492,0,0,0,0,0,4096,26432489,33721163,3049141171,36345,1067639632,1067639632,,1067639632,1062,19797,19797,25.46,.10,8153.07,10401.25,940504.54,0.00,,,1067639632,25.46,248266
7db30d12cb06f0dc2f30abff80d96d6a-two-trees-1023v.sanitized,TIMEOUT,124,0,0,5000.161877234,99,0,0,0,0,37,1671,0,0,0,0,0,4096,,,,,,,,,1023,4088,4088,,.50,,,,,,,,,61658
